Treatments,Time,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15
W0001,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0001,3,0.3717378388771705,0.6249183965038904,0.1716944474528225,0.4192136960810198,0.3675840958558164,0.1045097205254218,0.3344663868774021,0.1071542281714031,0.7183513742424401,0.1416853850755865,0.25023448552875,0.7510878735930451,0.4156279802428744,0.1426642001059877,0.3434654588061825,0.2472975352836588,0.0904402922288618,0.3161850310856492,0.5273704033845076,0.321170019764837,0.1623600198582565,0.1361917643905534,0.1386140462436012,0.2631593748779294,0.27844945148759,0.1018942681494639,0.3113287254555529,0.1086847920181337,0.219073078066382,0.1083311005710391,0.084412545738753,0.0859942510503115,0.2316677825655724,0.0750681815342331,0.1107475659735854,0.1438587324659526,0.3314111392699642,0.1565324699206692,0.3274913142137352,0.0939496893941028,0.0928384796300323,0.1140417304204052,0.1904413233509284,0.0992887139326556,0.1334859090178209,0.1447136505957658,0.1205636788387577,0.1563364182402797,0.4034145635864867,0.0905171324032848,0.048832040456977,0.4007334582446489,0.6054120025583751,0.4374222067399145,0.4248306183004058,0.3119984572538877,0.4150528115087818,0.1299589469214822,0.1202814505131494,0.1921951612789884,0.272339672044121,0.2908589995667348,3.1020784844665488,2.31391187324785,3.798901203338811
W0001,6,0.2050980928455582,0.4063216584147722,0.0779325915728041,0.2312753464050915,0.1445773661635247,0.0462310905248957,0.2162134548446659,0.0398684506844383,0.2924169799288038,0.0603115877751902,0.1462003542469121,0.4305805989975912,0.1694641087366751,0.0636224410301901,0.1288960815277487,0.1092590789880656,0.0334859700458447,0.1322757148033378,0.565805053579281,0.2274637075949808,0.0812275467432944,0.0774831024173536,0.0736102174701201,0.1734430675188507,0.1221837760531525,0.0503425723931927,0.1394935477457383,0.0513319412192356,0.0994714469683786,0.052690588723902,0.0344889643997245,0.0438458114269797,0.108904814258616,0.0300862188231763,0.0556861267342682,0.0570097204152659,0.1940356234990015,0.0660223404859453,0.2429920267827662,0.0448619170249387,0.0306006253838815,0.0553109211660867,0.0821405985423052,0.0562974887171526,0.0701587389562741,0.0662974502698277,0.0455028528904685,0.0892883079688199,0.2807606099889386,0.0491225656097524,-0.0287136909704538,0.0734591900915949,0.1453821715473084,0.0706379666821912,0.0463562592572308,0.1282500757339397,0.1369488986823577,0.1577134544187676,0.0994490440426785,-0.0202550633111621,0.1633637698185568,0.1642533807301696,3.3059305209535883,2.094801171699665,4.151991399879436
W0002,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0002,3,6.629167743362567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343777557952502,0.4218636065965762,0.0628441944696797,0.7618056788432311,0.2052643986961302,0.0466620004151806,0.2314311720108584,0.057267202760578,0.2919770412067384,0.5799912638538555,0.4863752262538107,0.0269153588132706,12.8859167462974,1.2100485812751474,0.5239257520934104
W0002,6,3.681864976611157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004295673058207,0.1916089832395472,3.1151644959266644e-05,0.4076550694307961,0.1441063117624733,-0.0163232571415863,0.2063762494918516,0.024165417335926,0.2630725850280062,0.7260123909897211,0.4596181006645697,0.0120547260231208,14.125604150494969,1.3318906911625026,0.376061661125447
W0003,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0003,3,0.0,10.231046255473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0280148682006363,0.0025546513303702,0.0249281127883011,-0.012576801468436,0.0705821825697254,-0.0108724158426556,-0.0278632497253384,-0.0591425414002322,0.1078766167566596,0.5077260236099741,0.3634015145491796,4.066306258897301,2.267277914516017,2.578504348798228,4.179830677719485
W0003,6,0.0,3.8676953718946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0086706452424395,0.0091791864197313,-0.0643432633934797,-0.0002225060552435,-0.0198618437581598,0.0433437786026303,0.0993182692395812,-0.0219856955270415,0.1998665056148776,0.6064399369714933,0.4381447640564727,3.55533602754069,2.505876942805637,2.771446151794906,4.061879983309377
W0004,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
